"Step","cql_random_seed_40_20250507212532 - environment","cql_random_seed_40_20250507212532 - environment__MIN","cql_random_seed_40_20250507212532 - environment__MAX","iql_random_seed_40_20250507212532 - environment","iql_random_seed_40_20250507212532 - environment__MIN","iql_random_seed_40_20250507212532 - environment__MAX","bc_random_seed_40_20250507212528 - environment","bc_random_seed_40_20250507212528 - environment__MIN","bc_random_seed_40_20250507212528 - environment__MAX","iql_optimal_seed_40_20250507212523 - environment","iql_optimal_seed_40_20250507212523 - environment__MIN","iql_optimal_seed_40_20250507212523 - environment__MAX","cql_optimal_seed_40_20250507212524 - environment","cql_optimal_seed_40_20250507212524 - environment__MIN","cql_optimal_seed_40_20250507212524 - environment__MAX","bc_optimal_seed_40_20250507212522 - environment","bc_optimal_seed_40_20250507212522 - environment__MIN","bc_optimal_seed_40_20250507212522 - environment__MAX","cql_bau_seed_40_20250507212520 - environment","cql_bau_seed_40_20250507212520 - environment__MIN","cql_bau_seed_40_20250507212520 - environment__MAX","iql_bau_seed_40_20250507212517 - environment","iql_bau_seed_40_20250507212517 - environment__MIN","iql_bau_seed_40_20250507212517 - environment__MAX","bc_bau_seed_40_20250507212515 - environment","bc_bau_seed_40_20250507212515 - environment__MIN","bc_bau_seed_40_20250507212515 - environment__MAX","cql_random_seed_20_20250507210303 - environment","cql_random_seed_20_20250507210303 - environment__MIN","cql_random_seed_20_20250507210303 - environment__MAX","iql_random_seed_20_20250507210302 - environment","iql_random_seed_20_20250507210302 - environment__MIN","iql_random_seed_20_20250507210302 - environment__MAX","cql_optimal_seed_20_20250507210258 - environment","cql_optimal_seed_20_20250507210258 - environment__MIN","cql_optimal_seed_20_20250507210258 - environment__MAX","iql_optimal_seed_20_20250507210255 - environment","iql_optimal_seed_20_20250507210255 - environment__MIN","iql_optimal_seed_20_20250507210255 - environment__MAX","cql_bau_seed_20_20250507210254 - environment","cql_bau_seed_20_20250507210254 - environment__MIN","cql_bau_seed_20_20250507210254 - environment__MAX","iql_bau_seed_20_20250507210252 - environment","iql_bau_seed_20_20250507210252 - environment__MIN","iql_bau_seed_20_20250507210252 - environment__MAX","bc_random_seed_20_20250507210050 - environment","bc_random_seed_20_20250507210050 - environment__MIN","bc_random_seed_20_20250507210050 - environment__MAX","bc_optimal_seed_20_20250507210048 - environment","bc_optimal_seed_20_20250507210048 - environment__MIN","bc_optimal_seed_20_20250507210048 - environment__MAX","bc_bau_seed_20_20250507210045 - environment","bc_bau_seed_20_20250507210045 - environment__MIN","bc_bau_seed_20_20250507210045 - environment__MAX","cql_random_seed_10_20250507151820 - environment","cql_random_seed_10_20250507151820 - environment__MIN","cql_random_seed_10_20250507151820 - environment__MAX","iql_random_seed_10_20250507151819 - environment","iql_random_seed_10_20250507151819 - environment__MIN","iql_random_seed_10_20250507151819 - environment__MAX","bc_random_seed_10_20250507151816 - environment","bc_random_seed_10_20250507151816 - environment__MIN","bc_random_seed_10_20250507151816 - environment__MAX","iql_optimal_seed_10_20250507151811 - environment","iql_optimal_seed_10_20250507151811 - environment__MIN","iql_optimal_seed_10_20250507151811 - environment__MAX","cql_optimal_seed_10_20250507151812 - environment","cql_optimal_seed_10_20250507151812 - environment__MIN","cql_optimal_seed_10_20250507151812 - environment__MAX","bc_optimal_seed_10_20250507151810 - environment","bc_optimal_seed_10_20250507151810 - environment__MIN","bc_optimal_seed_10_20250507151810 - environment__MAX","cql_bau_seed_10_20250507151807 - environment","cql_bau_seed_10_20250507151807 - environment__MIN","cql_bau_seed_10_20250507151807 - environment__MAX","iql_bau_seed_10_20250507151805 - environment","iql_bau_seed_10_20250507151805 - environment__MIN","iql_bau_seed_10_20250507151805 - environment__MAX","bc_bau_seed_10_20250507151802 - environment","bc_bau_seed_10_20250507151802 - environment__MIN","bc_bau_seed_10_20250507151802 - environment__MAX","bc_random_seed_0_20250507145647 - environment","bc_random_seed_0_20250507145647 - environment__MIN","bc_random_seed_0_20250507145647 - environment__MAX","bc_optimal_seed_0_20250507145643 - environment","bc_optimal_seed_0_20250507145643 - environment__MIN","bc_optimal_seed_0_20250507145643 - environment__MAX","bc_bau_seed_0_20250507145640 - environment","bc_bau_seed_0_20250507145640 - environment__MIN","bc_bau_seed_0_20250507145640 - environment__MAX","cql_random_seed_0_20250507145333 - environment","cql_random_seed_0_20250507145333 - environment__MIN","cql_random_seed_0_20250507145333 - environment__MAX","cql_optimal_seed_0_20250507145331 - environment","cql_optimal_seed_0_20250507145331 - environment__MIN","cql_optimal_seed_0_20250507145331 - environment__MAX","cql_bau_seed_0_20250507145327 - environment","cql_bau_seed_0_20250507145327 - environment__MIN","cql_bau_seed_0_20250507145327 - environment__MAX","iql_random_seed_0_20250507145017 - environment","iql_random_seed_0_20250507145017 - environment__MIN","iql_random_seed_0_20250507145017 - environment__MAX","iql_optimal_seed_0_20250507145013 - environment","iql_optimal_seed_0_20250507145013 - environment__MIN","iql_optimal_seed_0_20250507145013 - environment__MAX","iql_bau_seed_0_20250507145011 - environment","iql_bau_seed_0_20250507145011 - environment__MIN","iql_bau_seed_0_20250507145011 - environment__MAX"
"37000","-509585.0285058063","-509585.0285058063","-509585.0285058063","-432161.4218350119","-432161.4218350119","-432161.4218350119","-228194.1870960232","-228194.1870960232","-228194.1870960232","-223371.6122070704","-223371.6122070704","-223371.6122070704","-250001.67774095546","-250001.67774095546","-250001.67774095546","-133830.9252085444","-133830.9252085444","-133830.9252085444","-235908.74733210358","-235908.74733210358","-235908.74733210358","-84415.09605747994","-84415.09605747994","-84415.09605747994","-63521.19016413377","-63521.19016413377","-63521.19016413377","-461444.16921539686","-461444.16921539686","-461444.16921539686","-403626.48909211403","-403626.48909211403","-403626.48909211403","-247769.47558208328","-247769.47558208328","-247769.47558208328","-227159.41977166838","-227159.41977166838","-227159.41977166838","-212390.63654673012","-212390.63654673012","-212390.63654673012","-78937.65873936267","-78937.65873936267","-78937.65873936267","-225818.16716429792","-225818.16716429792","-225818.16716429792","-155940.44611000142","-155940.44611000142","-155940.44611000142","-63004.90293806277","-63004.90293806277","-63004.90293806277","-478580.13780741376","-478580.13780741376","-478580.13780741376","-429323.97638820583","-429323.97638820583","-429323.97638820583","-214499.7850857564","-214499.7850857564","-214499.7850857564","-230598.946413043","-230598.946413043","-230598.946413043","-234654.63427877563","-234654.63427877563","-234654.63427877563","-137441.49514572325","-137441.49514572325","-137441.49514572325","-231194.45167530506","-231194.45167530506","-231194.45167530506","-83454.43097247717","-83454.43097247717","-83454.43097247717","-60076.40893047279","-60076.40893047279","-60076.40893047279","-236590.6780584051","-236590.6780584051","-236590.6780584051","-121070.69040720773","-121070.69040720773","-121070.69040720773","-62962.21500492122","-62962.21500492122","-62962.21500492122","-534812.110876769","-534812.110876769","-534812.110876769","-219495.76432739783","-219495.76432739783","-219495.76432739783","-211378.98724279422","-211378.98724279422","-211378.98724279422","-432093.7981113449","-432093.7981113449","-432093.7981113449","-221398.57523864784","-221398.57523864784","-221398.57523864784","-77724.01012217168","-77724.01012217168","-77724.01012217168"
"38000","-502679.5484237604","-502679.5484237604","-502679.5484237604","-438760.3936954139","-438760.3936954139","-438760.3936954139","-231338.50617706773","-231338.50617706773","-231338.50617706773","-228083.0604139694","-228083.0604139694","-228083.0604139694","-242102.17663269237","-242102.17663269237","-242102.17663269237","-127000.46334047084","-127000.46334047084","-127000.46334047084","-252858.61775625142","-252858.61775625142","-252858.61775625142","-93877.25980605981","-93877.25980605981","-93877.25980605981","-59957.74253110051","-59957.74253110051","-59957.74253110051","-489817.844515845","-489817.844515845","-489817.844515845","-397014.135244506","-397014.135244506","-397014.135244506","-237912.9268775908","-237912.9268775908","-237912.9268775908","-236533.7358283067","-236533.7358283067","-236533.7358283067","-195995.73061566736","-195995.73061566736","-195995.73061566736","-81286.70111373629","-81286.70111373629","-81286.70111373629","-228490.9242512871","-228490.9242512871","-228490.9242512871","-141569.94175050867","-141569.94175050867","-141569.94175050867","-65260.974104962224","-65260.974104962224","-65260.974104962224","-516974.9837101202","-516974.9837101202","-516974.9837101202","-451737.90234783146","-451737.90234783146","-451737.90234783146","-223491.07829753013","-223491.07829753013","-223491.07829753013","-238542.52262027722","-238542.52262027722","-238542.52262027722","-259316.70577792154","-259316.70577792154","-259316.70577792154","-144015.27580226358","-144015.27580226358","-144015.27580226358","-256781.39526774266","-256781.39526774266","-256781.39526774266","-78889.4863297053","-78889.4863297053","-78889.4863297053","-63981.012058894616","-63981.012058894616","-63981.012058894616","-229697.3831447725","-229697.3831447725","-229697.3831447725","-154764.95297652695","-154764.95297652695","-154764.95297652695","-61919.92710229523","-61919.92710229523","-61919.92710229523","-516954.9824012539","-516954.9824012539","-516954.9824012539","-241066.623763236","-241066.623763236","-241066.623763236","-211208.08680355205","-211208.08680355205","-211208.08680355205","-451998.7286655671","-451998.7286655671","-451998.7286655671","-224649.77156510658","-224649.77156510658","-224649.77156510658","-81405.90410814341","-81405.90410814341","-81405.90410814341"
"39000","-496932.7536304739","-496932.7536304739","-496932.7536304739","-432727.78956330294","-432727.78956330294","-432727.78956330294","-223615.8239887099","-223615.8239887099","-223615.8239887099","-227959.84586101596","-227959.84586101596","-227959.84586101596","-242313.55846226824","-242313.55846226824","-242313.55846226824","-152720.60366426254","-152720.60366426254","-152720.60366426254","-256352.29059781396","-256352.29059781396","-256352.29059781396","-78887.975470713","-78887.975470713","-78887.975470713","-63732.51929970397","-63732.51929970397","-63732.51929970397","-477000.37410725316","-477000.37410725316","-477000.37410725316","-412181.5225381152","-412181.5225381152","-412181.5225381152","-246850.1386663677","-246850.1386663677","-246850.1386663677","-211377.65540103606","-211377.65540103606","-211377.65540103606","-210060.06247656682","-210060.06247656682","-210060.06247656682","-69749.23314418612","-69749.23314418612","-69749.23314418612","-236664.280339157","-236664.280339157","-236664.280339157","-141130.1891260637","-141130.1891260637","-141130.1891260637","-61554.360835257256","-61554.360835257256","-61554.360835257256","-418288.21049927006","-418288.21049927006","-418288.21049927006","-423850.140212434","-423850.140212434","-423850.140212434","-232137.47722294083","-232137.47722294083","-232137.47722294083","-229086.70125361285","-229086.70125361285","-229086.70125361285","-225602.7024270703","-225602.7024270703","-225602.7024270703","-118218.00687195898","-118218.00687195898","-118218.00687195898","-217148.80562096642","-217148.80562096642","-217148.80562096642","-81664.36945761074","-81664.36945761074","-81664.36945761074","-66756.22349606619","-66756.22349606619","-66756.22349606619","-218656.88446121928","-218656.88446121928","-218656.88446121928","-112026.93546464852","-112026.93546464852","-112026.93546464852","-62654.2070641924","-62654.2070641924","-62654.2070641924","-479856.8965065834","-479856.8965065834","-479856.8965065834","-214164.15776724482","-214164.15776724482","-214164.15776724482","-209119.4970381229","-209119.4970381229","-209119.4970381229","-424335.39261198655","-424335.39261198655","-424335.39261198655","-210958.82723150164","-210958.82723150164","-210958.82723150164","-85775.36244499777","-85775.36244499777","-85775.36244499777"
"40000","-459452.9255893807","-459452.9255893807","-459452.9255893807","-412667.4339937995","-412667.4339937995","-412667.4339937995","-222990.0913015082","-222990.0913015082","-222990.0913015082","-209152.50582086502","-209152.50582086502","-209152.50582086502","-245859.08329963876","-245859.08329963876","-245859.08329963876","-112907.79957172577","-112907.79957172577","-112907.79957172577","-244138.43259502374","-244138.43259502374","-244138.43259502374","-77516.60691043868","-77516.60691043868","-77516.60691043868","-56679.95830352105","-56679.95830352105","-56679.95830352105","-456346.4003739887","-456346.4003739887","-456346.4003739887","-426604.8588805826","-426604.8588805826","-426604.8588805826","-259638.13322306695","-259638.13322306695","-259638.13322306695","-239420.67366725663","-239420.67366725663","-239420.67366725663","-211328.54137197146","-211328.54137197146","-211328.54137197146","-79916.48067335322","-79916.48067335322","-79916.48067335322","-222360.11065206936","-222360.11065206936","-222360.11065206936","-132371.82583581796","-132371.82583581796","-132371.82583581796","-60809.71647324878","-60809.71647324878","-60809.71647324878","-437375.88000199734","-437375.88000199734","-437375.88000199734","-438344.3275644176","-438344.3275644176","-438344.3275644176","-228337.0267201065","-228337.0267201065","-228337.0267201065","-228263.302869948","-228263.302869948","-228263.302869948","-245243.36672728803","-245243.36672728803","-245243.36672728803","-130584.71395479924","-130584.71395479924","-130584.71395479924","-210505.379526889","-210505.379526889","-210505.379526889","-81708.56027929748","-81708.56027929748","-81708.56027929748","-60528.76678714978","-60528.76678714978","-60528.76678714978","-226615.39735032045","-226615.39735032045","-226615.39735032045","-126810.06612437242","-126810.06612437242","-126810.06612437242","-56962.70826642658","-56962.70826642658","-56962.70826642658","-418912.56480287213","-418912.56480287213","-418912.56480287213","-232038.19403475913","-232038.19403475913","-232038.19403475913","-201906.8211416131","-201906.8211416131","-201906.8211416131","-429217.92482214235","-429217.92482214235","-429217.92482214235","-215640.29203683545","-215640.29203683545","-215640.29203683545","-84285.85638588636","-84285.85638588636","-84285.85638588636"
"41000","-507910.226412076","-507910.226412076","-507910.226412076","-424210.7588966362","-424210.7588966362","-424210.7588966362","-242694.36097801384","-242694.36097801384","-242694.36097801384","-215487.03429362664","-215487.03429362664","-215487.03429362664","-239378.80282396422","-239378.80282396422","-239378.80282396422","-148247.26239053826","-148247.26239053826","-148247.26239053826","-256468.4269809572","-256468.4269809572","-256468.4269809572","-74963.48703202546","-74963.48703202546","-74963.48703202546","-64703.71440704224","-64703.71440704224","-64703.71440704224","-437694.1643340523","-437694.1643340523","-437694.1643340523","-412332.4792791449","-412332.4792791449","-412332.4792791449","-230604.6936260961","-230604.6936260961","-230604.6936260961","-226273.5781021279","-226273.5781021279","-226273.5781021279","-206242.34201857034","-206242.34201857034","-206242.34201857034","-78197.61759382773","-78197.61759382773","-78197.61759382773","-229890.2081662151","-229890.2081662151","-229890.2081662151","-142683.12812599045","-142683.12812599045","-142683.12812599045","-57848.82585975548","-57848.82585975548","-57848.82585975548","-460879.94847333134","-460879.94847333134","-460879.94847333134","-434708.23516877217","-434708.23516877217","-434708.23516877217","-229191.44905164823","-229191.44905164823","-229191.44905164823","-226533.66321393425","-226533.66321393425","-226533.66321393425","-251295.3176881687","-251295.3176881687","-251295.3176881687","-146286.95145034595","-146286.95145034595","-146286.95145034595","-223100.50692617678","-223100.50692617678","-223100.50692617678","-76851.14755919376","-76851.14755919376","-76851.14755919376","-63307.164514543736","-63307.164514543736","-63307.164514543736","-232726.60619701626","-232726.60619701626","-232726.60619701626","-137650.82627956438","-137650.82627956438","-137650.82627956438","-61742.350165492375","-61742.350165492375","-61742.350165492375","-423037.8002629781","-423037.8002629781","-423037.8002629781","-223440.360490227","-223440.360490227","-223440.360490227","-191976.3412009905","-191976.3412009905","-191976.3412009905","-415139.1438276721","-415139.1438276721","-415139.1438276721","-212882.0278921025","-212882.0278921025","-212882.0278921025","-72282.1691212038","-72282.1691212038","-72282.1691212038"
"42000","-397038.87454382086","-397038.87454382086","-397038.87454382086","-431631.0351407535","-431631.0351407535","-431631.0351407535","-220116.22086737753","-220116.22086737753","-220116.22086737753","-232955.18868633907","-232955.18868633907","-232955.18868633907","-248261.91329639303","-248261.91329639303","-248261.91329639303","-130669.14088448677","-130669.14088448677","-130669.14088448677","-267695.39132851217","-267695.39132851217","-267695.39132851217","-71093.48405593852","-71093.48405593852","-71093.48405593852","-58681.944851801105","-58681.944851801105","-58681.944851801105","-400118.6005079401","-400118.6005079401","-400118.6005079401","-397978.79832005367","-397978.79832005367","-397978.79832005367","-222631.2884247112","-222631.2884247112","-222631.2884247112","-211761.29669548423","-211761.29669548423","-211761.29669548423","-208005.47201658593","-208005.47201658593","-208005.47201658593","-67391.71796377718","-67391.71796377718","-67391.71796377718","-235503.20480174056","-235503.20480174056","-235503.20480174056","-154380.33697109672","-154380.33697109672","-154380.33697109672","-60368.45788686159","-60368.45788686159","-60368.45788686159","-426456.1408665683","-426456.1408665683","-426456.1408665683","-418902.8917219812","-418902.8917219812","-418902.8917219812","-228087.23246538817","-228087.23246538817","-228087.23246538817","-218034.4279686818","-218034.4279686818","-218034.4279686818","-226539.82417275073","-226539.82417275073","-226539.82417275073","-126813.8994943114","-126813.8994943114","-126813.8994943114","-234762.82961810965","-234762.82961810965","-234762.82961810965","-70101.3360079304","-70101.3360079304","-70101.3360079304","-59732.5569601352","-59732.5569601352","-59732.5569601352","-223358.05031317569","-223358.05031317569","-223358.05031317569","-145734.48020858227","-145734.48020858227","-145734.48020858227","-58945.49910842709","-58945.49910842709","-58945.49910842709","-456829.32482061605","-456829.32482061605","-456829.32482061605","-242566.92985412784","-242566.92985412784","-242566.92985412784","-187008.9990789724","-187008.9990789724","-187008.9990789724","-426370.0962571328","-426370.0962571328","-426370.0962571328","-219771.39257958482","-219771.39257958482","-219771.39257958482","-74295.93837798889","-74295.93837798889","-74295.93837798889"
"43000","-369221.16503327555","-369221.16503327555","-369221.16503327555","-425428.00752091664","-425428.00752091664","-425428.00752091664","-215884.0971334352","-215884.0971334352","-215884.0971334352","-229240.06600054482","-229240.06600054482","-229240.06600054482","-241799.77885965043","-241799.77885965043","-241799.77885965043","-124447.15197957125","-124447.15197957125","-124447.15197957125","-227272.19175751362","-227272.19175751362","-227272.19175751362","-73171.50095918817","-73171.50095918817","-73171.50095918817","-57600.09664780026","-57600.09664780026","-57600.09664780026","-470182.3435582786","-470182.3435582786","-470182.3435582786","-427706.9325686488","-427706.9325686488","-427706.9325686488","-253289.9035394434","-253289.9035394434","-253289.9035394434","-225670.45386127816","-225670.45386127816","-225670.45386127816","-219944.83636760674","-219944.83636760674","-219944.83636760674","-73969.20636532732","-73969.20636532732","-73969.20636532732","-238673.11480729963","-238673.11480729963","-238673.11480729963","-125012.82749346839","-125012.82749346839","-125012.82749346839","-60319.14246467397","-60319.14246467397","-60319.14246467397","-380007.7098281814","-380007.7098281814","-380007.7098281814","-412287.88326890575","-412287.88326890575","-412287.88326890575","-206649.29853162664","-206649.29853162664","-206649.29853162664","-225001.98884191335","-225001.98884191335","-225001.98884191335","-233489.43324561958","-233489.43324561958","-233489.43324561958","-119082.04727006731","-119082.04727006731","-119082.04727006731","-254745.63721650428","-254745.63721650428","-254745.63721650428","-65832.48012931229","-65832.48012931229","-65832.48012931229","-57460.31805897997","-57460.31805897997","-57460.31805897997","-225473.61350547447","-225473.61350547447","-225473.61350547447","-105469.0631402929","-105469.0631402929","-105469.0631402929","-60292.69116173846","-60292.69116173846","-60292.69116173846","-492519.92126197665","-492519.92126197665","-492519.92126197665","-229340.164911242","-229340.164911242","-229340.164911242","-199026.30958281952","-199026.30958281952","-199026.30958281952","-440209.6265989948","-440209.6265989948","-440209.6265989948","-232167.18893545133","-232167.18893545133","-232167.18893545133","-78558.28790800714","-78558.28790800714","-78558.28790800714"
"44000","-432384.35811686504","-432384.35811686504","-432384.35811686504","-433027.52547810157","-433027.52547810157","-433027.52547810157","-223167.97124027455","-223167.97124027455","-223167.97124027455","-234327.4634582918","-234327.4634582918","-234327.4634582918","-244434.36453703235","-244434.36453703235","-244434.36453703235","-134490.27507868133","-134490.27507868133","-134490.27507868133","-219028.9023297171","-219028.9023297171","-219028.9023297171","-67964.21631239544","-67964.21631239544","-67964.21631239544","-56588.9545456126","-56588.9545456126","-56588.9545456126","-401098.32326332194","-401098.32326332194","-401098.32326332194","-405687.1580895635","-405687.1580895635","-405687.1580895635","-249571.62840707658","-249571.62840707658","-249571.62840707658","-211367.32553221917","-211367.32553221917","-211367.32553221917","-220324.42020832008","-220324.42020832008","-220324.42020832008","-71177.9784756036","-71177.9784756036","-71177.9784756036","-237154.19897712872","-237154.19897712872","-237154.19897712872","-173954.54860698755","-173954.54860698755","-173954.54860698755","-59764.73724383501","-59764.73724383501","-59764.73724383501","-359237.80678720487","-359237.80678720487","-359237.80678720487","-434932.4975438487","-434932.4975438487","-434932.4975438487","-228707.50545816703","-228707.50545816703","-228707.50545816703","-234501.52325852663","-234501.52325852663","-234501.52325852663","-241548.9300258728","-241548.9300258728","-241548.9300258728","-139780.18056900782","-139780.18056900782","-139780.18056900782","-268046.11554709624","-268046.11554709624","-268046.11554709624","-69689.05439891195","-69689.05439891195","-69689.05439891195","-58215.009729549776","-58215.009729549776","-58215.009729549776","-219230.1443970422","-219230.1443970422","-219230.1443970422","-116967.41780081447","-116967.41780081447","-116967.41780081447","-59925.834635307554","-59925.834635307554","-59925.834635307554","-460646.75912759436","-460646.75912759436","-460646.75912759436","-221439.12405437737","-221439.12405437737","-221439.12405437737","-190823.5079856125","-190823.5079856125","-190823.5079856125","-417535.2841012765","-417535.2841012765","-417535.2841012765","-218739.29790664036","-218739.29790664036","-218739.29790664036","-75068.63141201719","-75068.63141201719","-75068.63141201719"
"45000","-438059.3570850775","-438059.3570850775","-438059.3570850775","-424344.7628984086","-424344.7628984086","-424344.7628984086","-233960.73888140285","-233960.73888140285","-233960.73888140285","-227750.03597013938","-227750.03597013938","-227750.03597013938","-251282.58900989732","-251282.58900989732","-251282.58900989732","-134139.50349027096","-134139.50349027096","-134139.50349027096","-213195.47400411716","-213195.47400411716","-213195.47400411716","-73338.6080547405","-73338.6080547405","-73338.6080547405","-59648.64448135772","-59648.64448135772","-59648.64448135772","-470240.6730108235","-470240.6730108235","-470240.6730108235","-439537.0622862504","-439537.0622862504","-439537.0622862504","-270182.83179928","-270182.83179928","-270182.83179928","-239939.65947917587","-239939.65947917587","-239939.65947917587","-230684.14491498703","-230684.14491498703","-230684.14491498703","-74720.51152921803","-74720.51152921803","-74720.51152921803","-228163.9757044544","-228163.9757044544","-228163.9757044544","-144130.66663228482","-144130.66663228482","-144130.66663228482","-63681.91471081076","-63681.91471081076","-63681.91471081076","-453817.4033196971","-453817.4033196971","-453817.4033196971","-433750.278372353","-433750.278372353","-433750.278372353","-228520.1612868889","-228520.1612868889","-228520.1612868889","-243802.71962113428","-243802.71962113428","-243802.71962113428","-254891.92193718778","-254891.92193718778","-254891.92193718778","-147356.9446891122","-147356.9446891122","-147356.9446891122","-220690.13251365765","-220690.13251365765","-220690.13251365765","-74064.0671936712","-74064.0671936712","-74064.0671936712","-55604.740487121475","-55604.740487121475","-55604.740487121475","-240310.5147356417","-240310.5147356417","-240310.5147356417","-139185.38658732132","-139185.38658732132","-139185.38658732132","-60521.50126513336","-60521.50126513336","-60521.50126513336","-467516.800418732","-467516.800418732","-467516.800418732","-220641.33489595866","-220641.33489595866","-220641.33489595866","-197881.51163173452","-197881.51163173452","-197881.51163173452","-436805.724782034","-436805.724782034","-436805.724782034","-202151.2019755555","-202151.2019755555","-202151.2019755555","-78891.67609884146","-78891.67609884146","-78891.67609884146"
"46000","-413711.83564810833","-413711.83564810833","-413711.83564810833","-410228.073672653","-410228.073672653","-410228.073672653","-224816.05090502164","-224816.05090502164","-224816.05090502164","-222857.39492865687","-222857.39492865687","-222857.39492865687","-253444.6725302004","-253444.6725302004","-253444.6725302004","-144277.90551803468","-144277.90551803468","-144277.90551803468","-215852.1517037375","-215852.1517037375","-215852.1517037375","-71679.34151316919","-71679.34151316919","-71679.34151316919","-59231.49360767638","-59231.49360767638","-59231.49360767638","-429068.1190120542","-429068.1190120542","-429068.1190120542","-404524.8506922957","-404524.8506922957","-404524.8506922957","-271686.1004146495","-271686.1004146495","-271686.1004146495","-223386.89850489234","-223386.89850489234","-223386.89850489234","-234465.99742324583","-234465.99742324583","-234465.99742324583","-67263.69562547091","-67263.69562547091","-67263.69562547091","-235484.82649900572","-235484.82649900572","-235484.82649900572","-149888.50127727064","-149888.50127727064","-149888.50127727064","-59800.28779221603","-59800.28779221603","-59800.28779221603","-422944.0290849703","-422944.0290849703","-422944.0290849703","-422954.09349970816","-422954.09349970816","-422954.09349970816","-215552.69555249854","-215552.69555249854","-215552.69555249854","-238856.03538678103","-238856.03538678103","-238856.03538678103","-252792.83650080967","-252792.83650080967","-252792.83650080967","-148641.73840479503","-148641.73840479503","-148641.73840479503","-219014.3564861241","-219014.3564861241","-219014.3564861241","-68778.11051135599","-68778.11051135599","-68778.11051135599","-60405.078725914515","-60405.078725914515","-60405.078725914515","-242821.48987246802","-242821.48987246802","-242821.48987246802","-142993.47028481492","-142993.47028481492","-142993.47028481492","-60039.72890647198","-60039.72890647198","-60039.72890647198","-406568.4502672648","-406568.4502672648","-406568.4502672648","-218708.39542769588","-218708.39542769588","-218708.39542769588","-205937.05534941916","-205937.05534941916","-205937.05534941916","-428786.7724094899","-428786.7724094899","-428786.7724094899","-210606.41820995833","-210606.41820995833","-210606.41820995833","-73918.71298139487","-73918.71298139487","-73918.71298139487"
"47000","-527810.9795756334","-527810.9795756334","-527810.9795756334","-435301.14508909045","-435301.14508909045","-435301.14508909045","-233558.6505076646","-233558.6505076646","-233558.6505076646","-241294.47980492885","-241294.47980492885","-241294.47980492885","-245466.12655274803","-245466.12655274803","-245466.12655274803","-137130.7117300734","-137130.7117300734","-137130.7117300734","-244030.80994656458","-244030.80994656458","-244030.80994656458","-66916.06636789629","-66916.06636789629","-66916.06636789629","-59680.743655049126","-59680.743655049126","-59680.743655049126","-449656.3256706728","-449656.3256706728","-449656.3256706728","-426788.232595394","-426788.232595394","-426788.232595394","-271445.8361392897","-271445.8361392897","-271445.8361392897","-215077.5226993354","-215077.5226993354","-215077.5226993354","-243987.72449041967","-243987.72449041967","-243987.72449041967","-67725.57065120932","-67725.57065120932","-67725.57065120932","-229094.86581323872","-229094.86581323872","-229094.86581323872","-129414.18442763733","-129414.18442763733","-129414.18442763733","-60613.409731092856","-60613.409731092856","-60613.409731092856","-491352.0597331153","-491352.0597331153","-491352.0597331153","-419171.2780606898","-419171.2780606898","-419171.2780606898","-247265.35400665744","-247265.35400665744","-247265.35400665744","-223956.50102731065","-223956.50102731065","-223956.50102731065","-254640.59634162998","-254640.59634162998","-254640.59634162998","-146197.91490742288","-146197.91490742288","-146197.91490742288","-217042.13872148603","-217042.13872148603","-217042.13872148603","-71240.86819210964","-71240.86819210964","-71240.86819210964","-60964.74798381452","-60964.74798381452","-60964.74798381452","-215585.03762045427","-215585.03762045427","-215585.03762045427","-144195.0802927802","-144195.0802927802","-144195.0802927802","-58719.46209652243","-58719.46209652243","-58719.46209652243","-487041.8713320458","-487041.8713320458","-487041.8713320458","-239525.06733799528","-239525.06733799528","-239525.06733799528","-188356.96328815087","-188356.96328815087","-188356.96328815087","-453936.4243211963","-453936.4243211963","-453936.4243211963","-236908.7816654546","-236908.7816654546","-236908.7816654546","-70378.75887034772","-70378.75887034772","-70378.75887034772"
